Question,Option1,Option2,Option3,Option4,Answer
What is the capital of Canada? (Set 9),Toronto,Vancouver,Ottawa,Montreal,Ottawa
What year did World War II end? (Set 3),1944,1945,1946,1947,1945
Which vitamin is produced when skin is exposed to sunlight? (Set 4),A,B,C,D,D
Which is the second most spoken language in the world? (Set 5),English,Spanish,Hindi,Arabic,Spanish
Which bird is a universal symbol of peace? (Set 3),Crow,Swan,Dove,Eagle,Dove
Which is the tallest mountain in the world? (Set 8),K2,Everest,Makalu,Kanchenjunga,Everest
Who wrote 'Hamlet'? (Set 6),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What do we call animals that eat both plants and meat? (Set 1),Herbivores,Carnivores,Omnivores,Insectivores,Omnivores
What is the hardest natural substance? (Set 5),Gold,Iron,Diamond,Silver,Diamond
What year did World War II end? (Set 8),1944,1945,1946,1947,1945
Who invented the telephone? (Set 2),Edison,Bell,Tesla,Marconi,Bell
What is the boiling point of water? (Set 5),90°C,100°C,110°C,120°C,100°C
What is the national flower of India? (Set 4),Rose,Lotus,Marigold,Jasmine,Lotus
What is the chemical symbol for gold? (Set 3),Au,Ag,Gd,Go,Au
Who was the first President of India? (Set 6),Rajendra Prasad,Nehru,Gandhi,Zakir Hussain,Rajendra Prasad
Which planet is known as the Red Planet? (Set 10),Earth,Venus,Mars,Jupiter,Mars
What is the largest mammal? (Set 7),Elephant,Giraffe,Blue Whale,Great White Shark,Blue Whale
Which planet is closest to the sun? (Set 5),Earth,Mercury,Venus,Mars,Mercury
How many continents are there? (Set 10),5,6,7,8,7
Which language has the most native speakers? (Set 5),English,Hindi,Mandarin,Spanish,Mandarin
What is H2O more commonly known as? (Set 3),Oxygen,Hydrogen,Water,Steam,Water
What is the square root of 144? (Set 9),10,11,12,13,12
What is the freezing point of water? (Set 7),0°C,32°C,10°C,100°C,0°C
Who wrote 'Hamlet'? (Set 1),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What is the largest island in the world? (Set 3),Greenland,Australia,Iceland,Borneo,Greenland
Which is the longest river in the world? (Set 8),Nile,Amazon,Yangtze,Mississippi,Nile
In which country are the pyramids located? (Set 3),India,Mexico,Egypt,Iraq,Egypt
What is the square root of 144? (Set 2),10,11,12,13,12
Which animal is known as the ship of the desert? (Set 4),Horse,Camel,Donkey,Elephant,Camel
In which country are the pyramids located? (Set 5),India,Mexico,Egypt,Iraq,Egypt
Which day is celebrated as World Environment Day? (Set 7),June 5,April 22,May 1,October 16,June 5
Who discovered gravity? (Set 10),Newton,Einstein,Tesla,Galileo,Newton
What is the largest mammal? (Set 4),Elephant,Giraffe,Blue Whale,Great White Shark,Blue Whale
Who wrote 'Hamlet'? (Set 5),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What does DNA stand for? (Set 4),Data Network Access,Deoxyribonucleic Acid,Digital Network Algorithm,None,Deoxyribonucleic Acid
What is the national flower of India? (Set 9),Rose,Lotus,Marigold,Jasmine,Lotus
Which continent is known as the Dark Continent? (Set 3),Asia,Africa,Australia,Europe,Africa
Which vitamin is produced when skin is exposed to sunlight? (Set 2),A,B,C,D,D
What is the main ingredient in guacamole? (Set 3),Onion,Tomato,Avocado,Pepper,Avocado
What is the main source of energy for Earth? (Set 4),Wind,Coal,Sun,Water,Sun
What is the square root of 144? (Set 7),10,11,12,13,12
What is the main source of energy for Earth? (Set 1),Wind,Coal,Sun,Water,Sun
Which day is celebrated as World Environment Day? (Set 9),June 5,April 22,May 1,October 16,June 5
Who wrote 'Hamlet'? (Set 10),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What is the square root of 144? (Set 10),10,11,12,13,12
What is the capital of France? (Set 5),Berlin,Madrid,Paris,Rome,Paris
What is the main ingredient in guacamole? (Set 7),Onion,Tomato,Avocado,Pepper,Avocado
Which continent is known as the Dark Continent? (Set 7),Asia,Africa,Australia,Europe,Africa
Which country invented paper? (Set 6),India,Greece,China,Egypt,China
Which organ purifies our blood? (Set 4),Heart,Lungs,Liver,Kidneys,Kidneys
Who painted the Mona Lisa? (Set 4),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
Which is the tallest mountain in the world? (Set 6),K2,Everest,Makalu,Kanchenjunga,Everest
Which metal is liquid at room temperature? (Set 2),Gold,Mercury,Silver,Zinc,Mercury
